Date,Close price,Open price,High price,Low price,Volume,
27/03/2020,696.06,692.54,703.22,682.52,327.99,
26/03/2020,694.21,689,700.76,680.1,221.85,
25/03/2020,690.25,669.76,690.25,667.58,270.18,
24/03/2020,659.21,666.59,666.59,652.27,245.15,
23/03/2020,666.59,694.77,694.77,664.23,280.25,
20/03/2020,709.73,728.55,729.35,709.73,230.59,
19/03/2020,725.94,732.35,733.43,714.02,353.39,
18/03/2020,747.66,747.4,752.65,742.12,259.02,
17/03/2020,745.78,724.07,750.03,721.84,287.28,
16/03/2020,747.86,758.28,758.59,737.58,292.25,
13/03/2020,761.78,750.56,764.69,723.42,354.71,
12/3/2020,769.25,778.06,778.06,762.12,339.23,
11/3/2020,811.35,843.52,844.94,794.54,318.57,
10/3/2020,837.5,813.83,843.28,806.63,298.02,
9/3/2020,835.49,875.8,875.8,834.67,309.10,
6/3/2020,891.44,888.96,891.44,882.71,214.34,
5/3/2020,893.31,892.71,898.43,891.2,231.34,
4/3/2020,889.37,887.85,889.85,882.83,238.45,
3/3/2020,890.61,895.39,896.39,890.06,212.74,
2/3/2020,884.43,878.43,886.45,877.31,206.64,
28/02/2020,882.19,885.47,887.07,872.46,241.89,
27/02/2020,898.44,892.15,899.34,889.14,163.29,
26/02/2020,895.97,901.51,903.27,894.25,142.58,
25/02/2020,909.67,893.95,909.67,893.95,221.12,
24/02/2020,903.34,917.49,917.49,903.34,291.88,
21/02/2020,933.09,938.13,940.53,932.32,206.75,
20/02/2020,938.13,933.69,938.13,930.41,198.34,
19/02/2020,928.76,926.41,931.66,925.86,192.17,
18/02/2020,927.93,934.47,934.98,926.01,187.76,
17/02/2020,934.77,938.52,938.52,931.66,183.25,
14/02/2020,937.45,939.28,940.65,936.47,204.35,
13/02/2020,938.24,937.19,939.1,934.47,177.73,
12/2/2020,937.68,940.72,943.11,937.34,228.04,
11/2/2020,934.67,930.73,936.04,930.73,179.35,
10/2/2020,930.73,934.38,935.87,926.61,153.97,
7/2/2020,940.75,938.61,943.48,935.94,194.17,
6/2/2020,938.54,926.66,938.54,925.21,223.67,
5/2/2020,925.91,934.75,936.33,921.89,197.38,
4/2/2020,929.09,929.42,934.91,919.33,197.69,
3/2/2020,928.14,916.6,930.37,891.85,275.52,
31/01/2020,936.62,959.58,960.96,936.62,253.95,
30/01/2020,959.58,975.15,977.72,954,198.51,
22/01/2020,991.46,986.52,991.46,983.92,152.35,
