Date,Price
11/02/2015,17430000
12/02/2015,16390000
13/02/2015,15110000
17/02/2015,15860000
18/02/2015,16740000
19/02/2015,16110000
20/02/2015,15730000
23/02/2015,15050000
24/02/2015,14500000
25/02/2015,13640000
26/02/2015,13550000
27/02/2015,14070000
02/03/2015,13900000
03/03/2015,13350000
04/03/2015,14310000
05/03/2015,14010000
06/03/2015,14610000
09/03/2015,15720000
10/03/2015,16470000
11/03/2015,16440000
12/03/2015,16450000
13/03/2015,15470000
16/03/2015,15780000
17/03/2015,16310000
18/03/2015,14600000
19/03/2015,14680000
20/03/2015,13520000
23/03/2015,13520000
24/03/2015,13360000
25/03/2015,13260000
26/03/2015,16640000
27/03/2015,15730000
30/03/2015,14760000
31/03/2015,14970000
01/04/2015,15320000
02/04/2015,15300000
06/04/2015,15750000
07/04/2015,14570000
08/04/2015,14590000
09/04/2015,14140000
10/04/2015,13200000
13/04/2015,13170000
14/04/2015,14340000
15/04/2015,13580000
16/04/2015,13270000
17/04/2015,13970000
20/04/2015,13670000
21/04/2015,12750000
22/04/2015,12970000
23/04/2015,12960000
24/04/2015,12210000
27/04/2015,12340000
28/04/2015,13260000
29/04/2015,13440000
30/04/2015,13890000
01/05/2015,13980000
04/05/2015,13120000
05/05/2015,13210000
06/05/2015,13930000
07/05/2015,15480000
08/05/2015,13360000
11/05/2015,13350000
12/05/2015,14730000
13/05/2015,13630000
14/05/2015,13140000
15/05/2015,12460000
18/05/2015,13080000
19/05/2015,12950000
20/05/2015,12900000
21/05/2015,13030000
22/05/2015,12370000
26/05/2015,13450000
27/05/2015,14160000
28/05/2015,13490000
29/05/2015,13590000
01/06/2015,13920000
02/06/2015,14720000
03/06/2015,13730000
04/06/2015,14570000
05/06/2015,15010000
08/06/2015,14840000
09/06/2015,15180000
10/06/2015,14240000
11/06/2015,13040000
12/06/2015,13310000
15/06/2015,15480000
16/06/2015,15620000
17/06/2015,14660000
18/06/2015,14030000
19/06/2015,13350000
22/06/2015,13420000
23/06/2015,12500000
24/06/2015,12570000
25/06/2015,12960000
26/06/2015,14130000
29/06/2015,16700000
30/06/2015,17600000
01/07/2015,16630000
02/07/2015,15430000
06/07/2015,18650000
07/07/2015,17220000
08/07/2015,17380000
09/07/2015,17460000
10/07/2015,17450000
13/07/2015,15290000
14/07/2015,13910000
15/07/2015,13350000
16/07/2015,12590000
17/07/2015,11770000
20/07/2015,12250000
21/07/2015,12420000
22/07/2015,12770000
23/07/2015,12060000
24/07/2015,12870000
27/07/2015,15600000
28/07/2015,14870000
29/07/2015,13570000
30/07/2015,12720000
31/07/2015,12030000
03/08/2015,12850000
04/08/2015,12660000
05/08/2015,12020000
06/08/2015,12200000
07/08/2015,13570000
10/08/2015,12730000
11/08/2015,13240000
12/08/2015,15190000
13/08/2015,13870000
14/08/2015,13690000
17/08/2015,14320000
18/08/2015,13410000
19/08/2015,14840000
20/08/2015,16550000
21/08/2015,22550000
24/08/2015,28030000
25/08/2015,31130000
26/08/2015,31130000
27/08/2015,27110000
28/08/2015,26690000
31/08/2015,27030000
01/09/2015,31910000
02/09/2015,29140000
03/09/2015,25210000
04/09/2015,27430000
08/09/2015,25050000
09/09/2015,22390000
10/09/2015,26870000
11/09/2015,25380000
14/09/2015,24030000
15/09/2015,23280000
16/09/2015,22570000
17/09/2015,21540000
18/09/2015,23070000
21/09/2015,21970000
22/09/2015,22970000
23/09/2015,22090000
24/09/2015,23530000
25/09/2015,21120000
28/09/2015,25020000
29/09/2015,26570000
30/09/2015,24640000
01/10/2015,23140000
02/10/2015,23990000
05/10/2015,20310000
06/10/2015,19540000
07/10/2015,18960000
08/10/2015,18620000
09/10/2015,17150000
12/10/2015,17680000
13/10/2015,17080000
14/10/2015,17670000
15/10/2015,17620000
16/10/2015,15640000
19/10/2015,15680000
20/10/2015,15170000
21/10/2015,14980000
22/10/2015,15020000
23/10/2015,13460000
26/10/2015,14760000
27/10/2015,15750000
28/10/2015,15140000
29/10/2015,14800000
30/10/2015,14600000
02/11/2015,15410000
03/11/2015,14330000
04/11/2015,14040000
05/11/2015,15390000
06/11/2015,14910000
09/11/2015,15340000
10/11/2015,16690000
11/11/2015,15070000
12/11/2015,17060000
13/11/2015,18680000
16/11/2015,20510000
17/11/2015,17820000
18/11/2015,19010000
19/11/2015,16250000
20/11/2015,16130000
23/11/2015,16150000
24/11/2015,16530000
25/11/2015,15550000
27/11/2015,15310000
30/11/2015,15550000
01/12/2015,15610000
02/12/2015,15040000
03/12/2015,15870000
04/12/2015,17430000
07/12/2015,15650000
08/12/2015,17690000
09/12/2015,18050000
10/12/2015,19250000
11/12/2015,21360000
14/12/2015,24700000
15/12/2015,20760000
16/12/2015,19250000
17/12/2015,16180000
18/12/2015,19340000
21/12/2015,19640000
22/12/2015,17610000
23/12/2015,15860000
24/12/2015,15440000
28/12/2015,17650000
29/12/2015,15910000
30/12/2015,16500000
31/12/2015,17970000
04/01/2016,22480000
05/01/2016,20750000
06/01/2016,21670000
07/01/2016,23220000
08/01/2016,22960000
11/01/2016,25580000
12/01/2016,22970000
13/01/2016,21720000
14/01/2016,24750000
15/01/2016,28960000
